merge sort,<_io.TextIOWrapper name='input_files/asc50.txt' mode='r' encoding='UTF-8'>,50,49,0
quick sort1,<_io.TextIOWrapper name='input_files/asc50.txt' mode='r' encoding='UTF-8'>,50,1225,0
quick sort2,<_io.TextIOWrapper name='input_files/asc50.txt' mode='r' encoding='UTF-8'>,50,49,0
quick sort3,<_io.TextIOWrapper name='input_files/asc50.txt' mode='r' encoding='UTF-8'>,50,49,0
quick sort4,<_io.TextIOWrapper name='input_files/asc50.txt' mode='r' encoding='UTF-8'>,50,110,110
merge sort,<_io.TextIOWrapper name='input_files/asc500.txt' mode='r' encoding='UTF-8'>,500,499,0
quick sort1,<_io.TextIOWrapper name='input_files/asc500.txt' mode='r' encoding='UTF-8'>,500,124750,0
quick sort2,<_io.TextIOWrapper name='input_files/asc500.txt' mode='r' encoding='UTF-8'>,500,124750,0
quick sort3,<_io.TextIOWrapper name='input_files/asc500.txt' mode='r' encoding='UTF-8'>,500,124750,0
quick sort4,<_io.TextIOWrapper name='input_files/asc500.txt' mode='r' encoding='UTF-8'>,500,1906,1906
merge sort,<_io.TextIOWrapper name='input_files/asc1k.txt' mode='r' encoding='UTF-8'>,1000,999,0
quick sort1,<_io.TextIOWrapper name='input_files/asc1k.txt' mode='r' encoding='UTF-8'>,1000,499500,0
quick sort2,<_io.TextIOWrapper name='input_files/asc1k.txt' mode='r' encoding='UTF-8'>,1000,499500,0
quick sort3,<_io.TextIOWrapper name='input_files/asc1k.txt' mode='r' encoding='UTF-8'>,1000,499500,0
quick sort4,<_io.TextIOWrapper name='input_files/asc1k.txt' mode='r' encoding='UTF-8'>,1000,4308,4308
merge sort,<_io.TextIOWrapper name='input_files/asc5k.txt' mode='r' encoding='UTF-8'>,5000,4999,0
quick sort1,<_io.TextIOWrapper name='input_files/asc5k.txt' mode='r' encoding='UTF-8'>,5000,12497500,0
quick sort2,<_io.TextIOWrapper name='input_files/asc5k.txt' mode='r' encoding='UTF-8'>,5000,12497500,0
quick sort3,<_io.TextIOWrapper name='input_files/asc5k.txt' mode='r' encoding='UTF-8'>,5000,12497500,0
quick sort4,<_io.TextIOWrapper name='input_files/asc5k.txt' mode='r' encoding='UTF-8'>,5000,27210,27210
merge sort,<_io.TextIOWrapper name='input_files/asc10k.txt' mode='r' encoding='UTF-8'>,10000,9999,0
quick sort1,<_io.TextIOWrapper name='input_files/asc10k.txt' mode='r' encoding='UTF-8'>,10000,49995000,0
quick sort2,<_io.TextIOWrapper name='input_files/asc10k.txt' mode='r' encoding='UTF-8'>,10000,49995000,0
quick sort3,<_io.TextIOWrapper name='input_files/asc10k.txt' mode='r' encoding='UTF-8'>,10000,49995000,0
quick sort4,<_io.TextIOWrapper name='input_files/asc10k.txt' mode='r' encoding='UTF-8'>,10000,59414,59414
merge sort,<_io.TextIOWrapper name='input_files/asc20k.txt' mode='r' encoding='UTF-8'>,20000,19999,0
quick sort1,<_io.TextIOWrapper name='input_files/asc20k.txt' mode='r' encoding='UTF-8'>,20000,199990000,0
quick sort2,<_io.TextIOWrapper name='input_files/asc20k.txt' mode='r' encoding='UTF-8'>,20000,199990000,0
quick sort3,<_io.TextIOWrapper name='input_files/asc20k.txt' mode='r' encoding='UTF-8'>,20000,199990000,0
quick sort4,<_io.TextIOWrapper name='input_files/asc20k.txt' mode='r' encoding='UTF-8'>,20000,128823,128823
merge sort,<_io.TextIOWrapper name='input_files/dup500.txt' mode='r' encoding='UTF-8'>,500,36998,36835
quick sort1,<_io.TextIOWrapper name='input_files/dup500.txt' mode='r' encoding='UTF-8'>,500,4526,2533
quick sort2,<_io.TextIOWrapper name='input_files/dup500.txt' mode='r' encoding='UTF-8'>,500,4526,2533
quick sort3,<_io.TextIOWrapper name='input_files/dup500.txt' mode='r' encoding='UTF-8'>,500,4526,2533
quick sort4,<_io.TextIOWrapper name='input_files/dup500.txt' mode='r' encoding='UTF-8'>,500,2168,2225
merge sort,<_io.TextIOWrapper name='input_files/dup1K.txt' mode='r' encoding='UTF-8'>,1000,146281,145985
quick sort1,<_io.TextIOWrapper name='input_files/dup1K.txt' mode='r' encoding='UTF-8'>,1000,12294,5431
quick sort2,<_io.TextIOWrapper name='input_files/dup1K.txt' mode='r' encoding='UTF-8'>,1000,12294,5431
quick sort3,<_io.TextIOWrapper name='input_files/dup1K.txt' mode='r' encoding='UTF-8'>,1000,12294,5431
quick sort4,<_io.TextIOWrapper name='input_files/dup1K.txt' mode='r' encoding='UTF-8'>,1000,4545,4644
merge sort,<_io.TextIOWrapper name='input_files/dup2K.txt' mode='r' encoding='UTF-8'>,2000,589307,588695
quick sort1,<_io.TextIOWrapper name='input_files/dup2K.txt' mode='r' encoding='UTF-8'>,2000,25188,12223
quick sort2,<_io.TextIOWrapper name='input_files/dup2K.txt' mode='r' encoding='UTF-8'>,2000,25188,12223
quick sort3,<_io.TextIOWrapper name='input_files/dup2K.txt' mode='r' encoding='UTF-8'>,2000,25188,12223
quick sort4,<_io.TextIOWrapper name='input_files/dup2K.txt' mode='r' encoding='UTF-8'>,2000,10348,10549
merge sort,<_io.TextIOWrapper name='input_files/dup5K.txt' mode='r' encoding='UTF-8'>,5000,3690389,3688890
quick sort1,<_io.TextIOWrapper name='input_files/dup5K.txt' mode='r' encoding='UTF-8'>,5000,70426,32300
quick sort2,<_io.TextIOWrapper name='input_files/dup5K.txt' mode='r' encoding='UTF-8'>,5000,70426,32300
quick sort3,<_io.TextIOWrapper name='input_files/dup5K.txt' mode='r' encoding='UTF-8'>,5000,70426,32300
quick sort4,<_io.TextIOWrapper name='input_files/dup5K.txt' mode='r' encoding='UTF-8'>,5000,28625,29134
merge sort,<_io.TextIOWrapper name='input_files/dup10K.txt' mode='r' encoding='UTF-8'>,10000,14711459,14708441
quick sort1,<_io.TextIOWrapper name='input_files/dup10K.txt' mode='r' encoding='UTF-8'>,10000,150148,72482
quick sort2,<_io.TextIOWrapper name='input_files/dup10K.txt' mode='r' encoding='UTF-8'>,10000,150148,72482
quick sort3,<_io.TextIOWrapper name='input_files/dup10K.txt' mode='r' encoding='UTF-8'>,10000,150148,72482
quick sort4,<_io.TextIOWrapper name='input_files/dup10K.txt' mode='r' encoding='UTF-8'>,10000,64573,65608
merge sort,<_io.TextIOWrapper name='input_files/dup20K.txt' mode='r' encoding='UTF-8'>,20000,58511951,58505989
quick sort1,<_io.TextIOWrapper name='input_files/dup20K.txt' mode='r' encoding='UTF-8'>,20000,331603,180375
quick sort2,<_io.TextIOWrapper name='input_files/dup20K.txt' mode='r' encoding='UTF-8'>,20000,331603,180375
quick sort3,<_io.TextIOWrapper name='input_files/dup20K.txt' mode='r' encoding='UTF-8'>,20000,331603,180375
quick sort4,<_io.TextIOWrapper name='input_files/dup20K.txt' mode='r' encoding='UTF-8'>,20000,140791,142902
merge sort,<_io.TextIOWrapper name='input_files/ran50.txt' mode='r' encoding='UTF-8'>,50,424,405
quick sort1,<_io.TextIOWrapper name='input_files/ran50.txt' mode='r' encoding='UTF-8'>,50,214,99
quick sort2,<_io.TextIOWrapper name='input_files/ran50.txt' mode='r' encoding='UTF-8'>,50,681,632
quick sort3,<_io.TextIOWrapper name='input_files/ran50.txt' mode='r' encoding='UTF-8'>,50,681,632
quick sort4,<_io.TextIOWrapper name='input_files/ran50.txt' mode='r' encoding='UTF-8'>,50,104,109
merge sort,<_io.TextIOWrapper name='input_files/ran500.txt' mode='r' encoding='UTF-8'>,500,36701,36559
quick sort1,<_io.TextIOWrapper name='input_files/ran500.txt' mode='r' encoding='UTF-8'>,500,4522,2360
quick sort2,<_io.TextIOWrapper name='input_files/ran500.txt' mode='r' encoding='UTF-8'>,500,4522,2360
quick sort3,<_io.TextIOWrapper name='input_files/ran500.txt' mode='r' encoding='UTF-8'>,500,4522,2360
quick sort4,<_io.TextIOWrapper name='input_files/ran500.txt' mode='r' encoding='UTF-8'>,500,1996,2054
merge sort,<_io.TextIOWrapper name='input_files/ran1K.txt' mode='r' encoding='UTF-8'>,1000,148316,148015
quick sort1,<_io.TextIOWrapper name='input_files/ran1K.txt' mode='r' encoding='UTF-8'>,1000,10094,5423
quick sort2,<_io.TextIOWrapper name='input_files/ran1K.txt' mode='r' encoding='UTF-8'>,1000,10094,5423
quick sort3,<_io.TextIOWrapper name='input_files/ran1K.txt' mode='r' encoding='UTF-8'>,1000,10094,5423
quick sort4,<_io.TextIOWrapper name='input_files/ran1K.txt' mode='r' encoding='UTF-8'>,1000,4379,4479
merge sort,<_io.TextIOWrapper name='input_files/ran2K.txt' mode='r' encoding='UTF-8'>,2000,594461,593905
quick sort1,<_io.TextIOWrapper name='input_files/ran2K.txt' mode='r' encoding='UTF-8'>,2000,24549,11961
quick sort2,<_io.TextIOWrapper name='input_files/ran2K.txt' mode='r' encoding='UTF-8'>,2000,24549,11961
quick sort3,<_io.TextIOWrapper name='input_files/ran2K.txt' mode='r' encoding='UTF-8'>,2000,24549,11961
quick sort4,<_io.TextIOWrapper name='input_files/ran2K.txt' mode='r' encoding='UTF-8'>,2000,10961,11205
merge sort,<_io.TextIOWrapper name='input_files/ran5K.txt' mode='r' encoding='UTF-8'>,5000,3596487,3595082
quick sort1,<_io.TextIOWrapper name='input_files/ran5K.txt' mode='r' encoding='UTF-8'>,5000,66092,36467
quick sort2,<_io.TextIOWrapper name='input_files/ran5K.txt' mode='r' encoding='UTF-8'>,5000,66092,36467
quick sort3,<_io.TextIOWrapper name='input_files/ran5K.txt' mode='r' encoding='UTF-8'>,5000,66092,36467
quick sort4,<_io.TextIOWrapper name='input_files/ran5K.txt' mode='r' encoding='UTF-8'>,5000,32241,32786
merge sort,<_io.TextIOWrapper name='input_files/ran10K.txt' mode='r' encoding='UTF-8'>,10000,14674072,14671053
quick sort1,<_io.TextIOWrapper name='input_files/ran10K.txt' mode='r' encoding='UTF-8'>,10000,151458,80899
quick sort2,<_io.TextIOWrapper name='input_files/ran10K.txt' mode='r' encoding='UTF-8'>,10000,151458,80899
quick sort3,<_io.TextIOWrapper name='input_files/ran10K.txt' mode='r' encoding='UTF-8'>,10000,151458,80899
quick sort4,<_io.TextIOWrapper name='input_files/ran10K.txt' mode='r' encoding='UTF-8'>,10000,63450,64574
merge sort,<_io.TextIOWrapper name='input_files/ran20K.txt' mode='r' encoding='UTF-8'>,20000,58740921,58735028
quick sort1,<_io.TextIOWrapper name='input_files/ran20K.txt' mode='r' encoding='UTF-8'>,20000,344444,160916
quick sort2,<_io.TextIOWrapper name='input_files/ran20K.txt' mode='r' encoding='UTF-8'>,20000,344444,160916
quick sort3,<_io.TextIOWrapper name='input_files/ran20K.txt' mode='r' encoding='UTF-8'>,20000,344444,160916
quick sort4,<_io.TextIOWrapper name='input_files/ran20K.txt' mode='r' encoding='UTF-8'>,20000,156144,158408
merge sort,<_io.TextIOWrapper name='input_files/rev50.txt' mode='r' encoding='UTF-8'>,50,48,48
quick sort1,<_io.TextIOWrapper name='input_files/rev50.txt' mode='r' encoding='UTF-8'>,50,1225,625
quick sort2,<_io.TextIOWrapper name='input_files/rev50.txt' mode='r' encoding='UTF-8'>,50,1274,1225
quick sort3,<_io.TextIOWrapper name='input_files/rev50.txt' mode='r' encoding='UTF-8'>,50,1274,1225
quick sort4,<_io.TextIOWrapper name='input_files/rev50.txt' mode='r' encoding='UTF-8'>,50,160,169
merge sort,<_io.TextIOWrapper name='input_files/rev500.txt' mode='r' encoding='UTF-8'>,500,498,498
quick sort1,<_io.TextIOWrapper name='input_files/rev500.txt' mode='r' encoding='UTF-8'>,500,124750,62500
quick sort2,<_io.TextIOWrapper name='input_files/rev500.txt' mode='r' encoding='UTF-8'>,500,124750,62500
quick sort3,<_io.TextIOWrapper name='input_files/rev500.txt' mode='r' encoding='UTF-8'>,500,124750,62500
quick sort4,<_io.TextIOWrapper name='input_files/rev500.txt' mode='r' encoding='UTF-8'>,500,12850,12949
merge sort,<_io.TextIOWrapper name='input_files/rev1K.txt' mode='r' encoding='UTF-8'>,1000,998,998
quick sort1,<_io.TextIOWrapper name='input_files/rev1K.txt' mode='r' encoding='UTF-8'>,1000,499500,250000
quick sort2,<_io.TextIOWrapper name='input_files/rev1K.txt' mode='r' encoding='UTF-8'>,1000,499500,250000
quick sort3,<_io.TextIOWrapper name='input_files/rev1K.txt' mode='r' encoding='UTF-8'>,1000,499500,250000
quick sort4,<_io.TextIOWrapper name='input_files/rev1K.txt' mode='r' encoding='UTF-8'>,1000,50700,50899
merge sort,<_io.TextIOWrapper name='input_files/rev2K.txt' mode='r' encoding='UTF-8'>,2000,1998,1998
quick sort1,<_io.TextIOWrapper name='input_files/rev2K.txt' mode='r' encoding='UTF-8'>,2000,1999000,1000000
quick sort2,<_io.TextIOWrapper name='input_files/rev2K.txt' mode='r' encoding='UTF-8'>,2000,1999000,1000000
quick sort3,<_io.TextIOWrapper name='input_files/rev2K.txt' mode='r' encoding='UTF-8'>,2000,1999000,1000000
quick sort4,<_io.TextIOWrapper name='input_files/rev2K.txt' mode='r' encoding='UTF-8'>,2000,201400,201799
merge sort,<_io.TextIOWrapper name='input_files/rev5K.txt' mode='r' encoding='UTF-8'>,5000,4998,4998
quick sort1,<_io.TextIOWrapper name='input_files/rev5K.txt' mode='r' encoding='UTF-8'>,5000,12497500,6250000
quick sort2,<_io.TextIOWrapper name='input_files/rev5K.txt' mode='r' encoding='UTF-8'>,5000,12497500,6250000
quick sort3,<_io.TextIOWrapper name='input_files/rev5K.txt' mode='r' encoding='UTF-8'>,5000,12497500,6250000
quick sort4,<_io.TextIOWrapper name='input_files/rev5K.txt' mode='r' encoding='UTF-8'>,5000,1253500,1254499
merge sort,<_io.TextIOWrapper name='input_files/rev10K.txt' mode='r' encoding='UTF-8'>,10000,9998,9998
quick sort1,<_io.TextIOWrapper name='input_files/rev10K.txt' mode='r' encoding='UTF-8'>,10000,49995000,25000000
quick sort2,<_io.TextIOWrapper name='input_files/rev10K.txt' mode='r' encoding='UTF-8'>,10000,49995000,25000000
quick sort3,<_io.TextIOWrapper name='input_files/rev10K.txt' mode='r' encoding='UTF-8'>,10000,49995000,25000000
quick sort4,<_io.TextIOWrapper name='input_files/rev10K.txt' mode='r' encoding='UTF-8'>,10000,5007000,5008999
merge sort,<_io.TextIOWrapper name='input_files/rev20K.txt' mode='r' encoding='UTF-8'>,20000,19998,19998
quick sort1,<_io.TextIOWrapper name='input_files/rev20K.txt' mode='r' encoding='UTF-8'>,20000,199990000,100000000
quick sort2,<_io.TextIOWrapper name='input_files/rev20K.txt' mode='r' encoding='UTF-8'>,20000,199990000,100000000
quick sort3,<_io.TextIOWrapper name='input_files/rev20K.txt' mode='r' encoding='UTF-8'>,20000,199990000,100000000
quick sort4,<_io.TextIOWrapper name='input_files/rev20K.txt' mode='r' encoding='UTF-8'>,20000,20014000,20017999
